ExecutablePath,EnabledNew,ClearReason,SystemTime,EfiTime,CorruptionActionState,param4,LidReliability,param9,OSmajorversion,updateTitle,CheckpointStatus,CurrentTimeZoneID,IdleImplementation,ProcessId,OldTime,State,NewLatchTimerWaitingSystemUpdateCompletion,HiveName,ImagePath,updateRevisionNumber,CmosTime,LastShutdownGood,param3,InputSuppressionState,OSEditionID,OSName,StartTime,SupportInfo2,TimeZoneBias,serviceGuid,SystemSleepTransitionsToOn,CsEntryScenarioInstanceIdV2,PreviousEnergyCapacityAtStart,BootType,ShutdownReason,PreviousTimerStartTime,ConnectedStandbyInProgress,BootStatusPolicy,KeysUpdated,TimeZoneInfoCacheUpdated,param5,Data,TmId,RelaxMinimumPasswordLengthLimits,ProcessingMode,DwordVal,PreviousLatchTimerExistsButDisabled,ProcessingTimeInMilliseconds,Turn,Host OS Major version,HResult,PolicyFileExists,DomainController,LidState,TimeDeltaInMs,DeviceTime,StartType,updateGuid,PreviousFullEnergyCapacityAtStart,OSservicepackmajorversion,Timestamp,Status,param7,PreviousFullEnergyCapacityAtEnd,AccountName,LastBootId,UpdateReason,SleepInProgress,NewTime,OriginalSize,DCName,Checkpoint,param10,NominalFrequency,Host OS Minor version,ShutdownEventCode,PreviousTimerExists,ServiceVersion,EnableDisableReason,MinimumPerformancePercent,param6,EfiTimeZoneBias,AdaptiveTargetState,DeviceNameLength,Number,IsUnattended,Installation choice,CountOld,SystemInCmosMode,BuildVersion,LastBootGood,AttemptedRecoveryEnforcementSucceeded,param2,BugcheckParameter2,OSminorversion,MinimumPasswordLengthAudit,LoaderTime,PowerStateAc,ReserveStatus,BootMode,Host OS Service pack major number,TSId,BugcheckParameter1,InternalBootFlags,RmId,RecordNumber,PreviousTimerExistsButDisabled,ADDomainJoin,CurrentStratumNumber,Config,CsEntryScenarioInstanceId,StopTime,ProcessName,ExtraString,Path,errorCode,IsTestConfig,BugcheckCode,ErrorMessage,PowerButtonTimestamp,MonitorReason,PreviousSessionDurationInUs,ServiceName,ExitReason,BugcheckParameter4,ManualPeer,BugcheckParameter3,OSservicepackName,LongPowerButtonPressDetected,ProcessID,MajorVersion,EntryCount,RealTimeIsUniversal,UserSid,BootId,BucketConfidenceLevel,GracePeriod,DeviceVersionMinor,PowerButtonSuppressionState,Level,OSbuildversion,FinalStatus,EfiDaylightFlags,MinimumThrottlePercent,FirstRefresh,PerformanceImplementation,Host OS Service pack minor number,MaximumPerformancePercent,NextSessionType,ShutdownActionType,HRESULT,QfeVersion,DeviceAttributes,CurrentBias,LoadOptions,TimeSource,ProcessImageFileNameWin32,IsSoftBoot,EventID,NewSize,IsAutoEnabled,ExtraStringLength,DeviceName,Unknown,param8,CountNew,HardwareChecks,NewTimerNeeded,MinorVersion,Group,BugcheckInfoFromEFI,DriveName,BootAppStatus,BitlockerUserInputTime,BootMenuPolicy,Success,BucketId,UpdateType,Host OS Build number,WHEABootErrorCount,NextSessionId,param1,RetryMinutes,PreviousEnergyCapacityAtEnd,SupportInfo1,TimeSourceRefId,Json,Url,OSservicepackminorversion,PackageFullName,ServiceType,HiveNameLength,param11,Reason,Phase,DomainPeer,IdleStateCount,driverFile,PreviousSessionId,VsmPolicy,NewTimerWaitingUpdateCompletion,InternalCode,IsLicensed,AADDomainJoin,Default SD String:,NewLatchTimerNeeded,PreviousSessionType,lineNumber,FailureReason,HalRtcErrorCode,DeviceVersionMajor,DirtyPages,ShutdownDuration,MinimumPasswordLength
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.560671+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, NOEXECUTE=OPTIN  FVEBOOT=2666496,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.560732+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.560745+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.565620+00:00,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:47.597548+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2093-04-01 18:29:43+00:00,,,,,2026-04-01 19:15:51.646498+00:00,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0x00000000,,,,,,,,,,,,,,,,,6,,,,FileInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2089-07-14 19:58:05+00:00,,,,,2026-04-01 19:15:51.647047+00:00,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0x00000000,,,,,,,,,,,,,,,,,6,,,,Wof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028-06-06 02:57:32+00:00,,,,,2026-04-01 19:15:51.647890+00:00,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0x00000000,,,,,,,,,,,,,,,,,6,,,,WdFilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:51.875080+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,\Device\HarddiskVolume3,,,,,,,,,C:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075-08-31 15:07:07+00:00,,,,,2026-04-01 19:15:51.922230+00:00,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0x00000000,,,,,,,,,,,,,,,,,6,,,,FileCrypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-05-14 02:13:30+00:00,,,,,2026-04-01 19:15:52.083143+00:00,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0x00000000,,,,,,,,,,,,,,,,,6,,,,npsvctrig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:52.202080+00:00,,,,,,,,,,,,,2688,,,,,,100,,,,,0,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,0,,100,,,,,,,,,,,55,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:52.323450+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,\SystemRoot\System32\Config\SECURITY,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:52.329630+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,\SystemRoot\System32\Config\DEFAULT,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:52.330120+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,\SystemRoot\System32\Config\SAM,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:52.330137+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,\Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:53.211437+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,\Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:53.215034+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,\Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:53.216507+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,\SystemRoot\System32\Config\SOFTWARE,,,,,,,,,,,,,,,,,,,,,256259,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:53.251270+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,16950,,
,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:53.277632+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,420,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,\SystemRoot\System32\config\DRIVERS,,,,,,,,,,,,,,,,,,,,,23927,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:53.307299+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,1060,,
,,,,,,,,,,,,,,,,,,\Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:53.487734+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,\??\C:\Users\Default\NTUSER.DAT,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:57.507149+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,6,,
,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,False,,,,,,,,,2026-04-01 19:15:57.744967+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:57.744984+00:00,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:57.745586+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,23,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:57.875971+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:57.884758+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,2026-04-01 19:15:57.946388+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6156,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-01 19:15:58.181870+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O:SYG:SYD:(A;;RC;;;BA),,,,,,,,,
