RecordNumber,LogonType,WorkstationName,DestPort,DestAddress,FilterRTID,Direction,RemoteMachineID,KeyLength,SubjectUserSid,SubjectDomainName,ProcessID,TokenElevationType,IpAddress,RemoteUserID,TargetDomainName,TargetLogonId,SubjectUserName,LayerName,LogonGuid,PrivilegeList,CommandLine,SourceAddress,ProcessId,IpPort,TargetUserName,LayerRTID,ProcessName,EventID,NewProcessName,TargetInfo,TransmittedServices,TargetServerName,Application,Protocol,NewProcessId,Timestamp,AuthenticationPackageName,LogonProcessName,LmPackageName,SubjectLogonId,SourcePort,TargetLogonGuid,TargetUserSid
11,7,PC01,,,,,,0,S-1-5-18,EXAMPLE,,,-,,EXAMPLE,0x00000000001414d9,PC01$,,{42daf7a9-f185-f292-0ebd-b86a26624d31},,,,0x00000208,-,user01,,C:\Windows\System32\lsass.exe,4624,,,-,,,,,2019-02-13 18:02:04.526806+00:00,Negotiate,Negotiat,-,0x00000000000003e7,,,S-1-5-21-1587066498-1489273250-1035260531-1106
12,,,135,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:02:05.418087+00:00,,,,,49267,,
13,,,49155,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:02:05.458145+00:00,,,,,49268,,
14,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x000001d0,,,,,4688,C:\Windows\System32\AtBroker.exe,,,,,,0x00000250,2019-02-13 18:02:05.528246+00:00,,,,0x00000000000003e7,,,
15,,,547,ff02::1:2,65865,%%14593,S-1-0-0,,,,820,,,S-1-0-0,,,,%%14611,,,,fe80::80ac:4126:fa58:1b81,,,,50,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:02:19.518362+00:00,,,,,546,,
16,,,,,,,,,S-1-5-21-1587066498-1489273250-1035260531-1106,EXAMPLE,,%%1936,,,,,user01,,,,,,0x00000e60,,,,,4688,C:\Users\user01\Desktop\plink.exe,,,,,,0x00000cfc,2019-02-13 18:03:28.318441+00:00,,,,0x000000000002ed80,,,
17,,,80,10.0.2.18,0,%%14593,S-1-0-0,,,,3324,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\users\user01\desktop\plink.exe,6,,2019-02-13 18:03:28.348558+00:00,,,,,49269,,
18,,,137,10.0.2.18,0,%%14592,S-1-0-0,,,,4,,,S-1-0-0,,,,%%14610,,,,10.255.255.255,,,,44,,5156,,,,,System,17,,2019-02-13 18:03:29.121593+00:00,,,,,137,,
19,,,138,10.0.2.18,0,%%14592,S-1-0-0,,,,4,,,S-1-0-0,,,,%%14610,,,,10.255.255.255,,,,44,,5156,,,,,System,17,,2019-02-13 18:03:29.121593+00:00,,,,,138,,
20,,,445,10.0.2.15,0,%%14593,S-1-0-0,,,,4,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,System,6,,2019-02-13 18:03:32.183609+00:00,,,,,49270,,
21,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x00000278,,,,,4688,C:\Windows\System32\slui.exe,,,,,,0x00000a38,2019-02-13 18:03:35.704838+00:00,,,,0x00000000000003e7,,,
22,,,137,10.0.2.18,0,%%14592,S-1-0-0,,,,4,,,S-1-0-0,,,,%%14610,,,,10.255.255.255,,,,44,,5156,,,,,System,17,,2019-02-13 18:03:36.025299+00:00,,,,,137,,
23,,,138,10.0.2.18,0,%%14592,S-1-0-0,,,,4,,,S-1-0-0,,,,%%14610,,,,10.255.255.255,,,,44,,5156,,,,,System,17,,2019-02-13 18:03:36.025299+00:00,,,,,138,,
24,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x00000990,,,,,4688,C:\Windows\System32\UI0Detect.exe,,,,,,0x00000934,2019-02-13 18:03:42.664848+00:00,,,,0x00000000000003e7,,,
25,,,3389,127.0.0.2,0,%%14593,S-1-0-0,,,,3324,,,S-1-0-0,,,,%%14611,,,,127.0.0.1,,,,48,,5156,,,,,\device\harddiskvolume1\users\user01\desktop\plink.exe,6,,2019-02-13 18:04:01.632120+00:00,,,,,49271,,
26,,,49271,127.0.0.1,0,%%14592,S-1-0-0,,,,4,,,S-1-0-0,,,,%%14610,,,,127.0.0.2,,,,44,,5156,,,,,System,6,,2019-02-13 18:04:01.632120+00:00,,,,,3389,,
27,,,,,0,,,,,,,,,,,,,%%14608,,,,0.0.0.0,1280,,,36,,5158,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:04:01.722248+00:00,,,,,55355,,
28,,,53,10.0.2.15,0,%%14593,S-1-0-0,,,,1280,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:04:01.722248+00:00,,,,,55355,,
29,,,,,0,,,,,,,,,,,,,%%14608,,,,::,1280,,,38,,5158,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:04:01.722248+00:00,,,,,50448,,
30,,,5355,ff02::1:3,0,%%14593,S-1-0-0,,,,1280,,,S-1-0-0,,,,%%14611,,,,fe80::80ac:4126:fa58:1b81,,,,50,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:04:01.722248+00:00,,,,,50448,,
31,,,,,0,,,,,,,,,,,,,%%14608,,,,0.0.0.0,1280,,,36,,5158,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:04:01.722248+00:00,,,,,53613,,
32,,,5355,224.0.0.252,0,%%14593,S-1-0-0,,,,1280,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:04:01.722248+00:00,,,,,53613,,
33,,,135,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:04:43.171852+00:00,,,,,49272,,
34,,,49158,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:04:43.171852+00:00,,,,,49273,,
35,,,,,,,,,S-1-5-21-1587066498-1489273250-1035260531-1108,EXAMPLE,,,,,,,admin01,,,"SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege",,,,,,,,4672,,,,,,,,2019-02-13 18:04:43.171852+00:00,,,,0x000000000014871d,,,
36,3,PC02,,,,,,128,S-1-0-0,-,,,-,,EXAMPLE,0x000000000014871d,-,,{00000000-0000-0000-0000-000000000000},,,,0x00000000,-,admin01,,-,4624,,,-,,,,,2019-02-13 18:04:43.171852+00:00,NTLM,NtLmSsp ,NTLM V2,0x0000000000000000,,,S-1-5-21-1587066498-1489273250-1035260531-1108
37,,,3389,127.0.0.2,0,%%14593,S-1-0-0,,,,3324,,,S-1-0-0,,,,%%14611,,,,127.0.0.1,,,,48,,5156,,,,,\device\harddiskvolume1\users\user01\desktop\plink.exe,6,,2019-02-13 18:04:45.905783+00:00,,,,,49274,,
38,,,49274,127.0.0.1,0,%%14592,S-1-0-0,,,,4,,,S-1-0-0,,,,%%14610,,,,127.0.0.2,,,,44,,5156,,,,,System,6,,2019-02-13 18:04:45.905783+00:00,,,,,3389,,
39,,,49158,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:04:57.442371+00:00,,,,,49275,,
40,,,,,,,,,S-1-5-21-1587066498-1489273250-1035260531-1108,EXAMPLE,,,,,,,admin01,,,"SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege",,,,,,,,4672,,,,,,,,2019-02-13 18:04:57.442371+00:00,,,,0x0000000000148f5d,,,
41,3,PC02,,,,,,128,S-1-0-0,-,,,-,,EXAMPLE,0x0000000000148f5d,-,,{00000000-0000-0000-0000-000000000000},,,,0x00000000,-,admin01,,-,4624,,,-,,,,,2019-02-13 18:04:57.442371+00:00,NTLM,NtLmSsp ,NTLM V2,0x0000000000000000,,,S-1-5-21-1587066498-1489273250-1035260531-1108
42,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x00000124,,,,,4688,C:\Windows\System32\smss.exe,,,,,,0x0000038c,2019-02-13 18:04:57.462399+00:00,,,,0x00000000000003e7,,,
43,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x0000038c,,,,,4688,C:\Windows\System32\csrss.exe,,,,,,0x000009d4,2019-02-13 18:04:57.462399+00:00,,,,0x00000000000003e7,,,
44,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x0000038c,,,,,4688,C:\Windows\System32\winlogon.exe,,,,,,0x000004b8,2019-02-13 18:04:57.542515+00:00,,,,0x00000000000003e7,,,
45,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x000004b8,,,,,4688,C:\Windows\System32\LogonUI.exe,,,,,,0x00000c70,2019-02-13 18:04:57.672703+00:00,,,,0x00000000000003e7,,,
46,,,88,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:04:58.283581+00:00,,,,,49276,,
47,,,88,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:04:58.323637+00:00,,,,,49277,,
48,,,88,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:04:58.333654+00:00,,,,,49278,,
49,,,88,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:04:58.333654+00:00,,,,,49279,,
50,,,,,,,,,S-1-5-18,EXAMPLE,,,127.0.0.1,,EXAMPLE,,PC01$,,{00000000-0000-0000-0000-000000000000},,,,0x000004b8,49274,admin01,,C:\Windows\System32\winlogon.exe,4648,,localhost,,localhost,,,,2019-02-13 18:04:58.363695+00:00,,,,0x00000000000003e7,,{af83a89c-c68a-5397-5ac6-24a0c4d2baf6},
51,10,PC01,,,,,,0,S-1-5-18,EXAMPLE,,,127.0.0.1,,EXAMPLE,0x000000000014a321,PC01$,,{af83a89c-c68a-5397-5ac6-24a0c4d2baf6},,,,0x000004b8,49274,admin01,,C:\Windows\System32\winlogon.exe,4624,,,-,,,,,2019-02-13 18:04:58.363695+00:00,Negotiate,User32 ,-,0x00000000000003e7,,,S-1-5-21-1587066498-1489273250-1035260531-1108
52,,,,,,,,,S-1-5-21-1587066498-1489273250-1035260531-1108,EXAMPLE,,,,,,,admin01,,,"SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege",,,,,,,,4672,,,,,,,,2019-02-13 18:04:58.363695+00:00,,,,0x000000000014a321,,,
53,,,445,10.0.2.15,0,%%14593,S-1-0-0,,,,4,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,System,6,,2019-02-13 18:04:58.413769+00:00,,,,,49280,,
54,,,88,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:04:58.413769+00:00,,,,,49281,,
55,,,88,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:04:58.413769+00:00,,,,,49282,,
56,,,88,10.0.2.15,0,%%14593,S-1-0-0,,,,520,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\lsass.exe,6,,2019-02-13 18:04:58.543955+00:00,,,,,49283,,
57,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x00000278,,,,,4688,C:\Windows\System32\rundll32.exe,,,,,,0x00000410,2019-02-13 18:05:00.997484+00:00,,,,0x00000000000003e7,,,
58,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x00000124,,,,,4688,C:\Windows\System32\smss.exe,,,,,,0x0000062c,2019-02-13 18:05:04.802956+00:00,,,,0x00000000000003e7,,,
59,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x0000062c,,,,,4688,C:\Windows\System32\csrss.exe,,,,,,0x00000adc,2019-02-13 18:05:04.802956+00:00,,,,0x00000000000003e7,,,
60,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x0000062c,,,,,4688,C:\Windows\System32\winlogon.exe,,,,,,0x00000768,2019-02-13 18:05:04.873055+00:00,,,,0x00000000000003e7,,,
61,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x00000768,,,,,4688,C:\Windows\System32\LogonUI.exe,,,,,,0x00000ce0,2019-02-13 18:05:05.123417+00:00,,,,0x00000000000003e7,,,
62,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x00000278,,,,,4688,C:\Windows\System32\TSTheme.exe,,,,,,0x000009fc,2019-02-13 18:05:05.253603+00:00,,,,0x00000000000003e7,,,
63,,,,,,,,,S-1-5-20,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x00000500,,,,,4688,C:\Windows\System32\rdpclip.exe,,,,,,0x00000a1c,2019-02-13 18:05:06.575504+00:00,,,,0x00000000000003e4,,,
64,,,,,,,,,S-1-5-18,EXAMPLE,,%%1936,,,,,PC01$,,,,,,0x00000dec,,,,,4688,C:\Windows\System32\AtBroker.exe,,,,,,0x000007f0,2019-02-13 18:05:06.585520+00:00,,,,0x00000000000003e7,,,
65,,,1900,ff02::c,0,%%14593,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14611,,,,fe80::80ac:4126:fa58:1b81,,,,50,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.592783+00:00,,,,,55138,,
66,,,1900,ff02::c,0,%%14593,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14611,,,,::1,,,,50,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.592783+00:00,,,,,55139,,
67,,,55139,::1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,ff02::c,,,,46,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.592783+00:00,,,,,1900,,
68,,,1900,239.255.255.250,0,%%14593,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.592783+00:00,,,,,55140,,
69,,,1900,239.255.255.250,0,%%14593,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14611,,,,127.0.0.1,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.592783+00:00,,,,,55141,,
70,,,55141,127.0.0.1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,239.255.255.250,,,,44,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.592783+00:00,,,,,1900,,
71,,,55139,::1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,ff02::c,,,,46,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.602798+00:00,,,,,1900,,
72,,,55141,127.0.0.1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,239.255.255.250,,,,44,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.602798+00:00,,,,,1900,,
73,,,,,0,,,,,,,,,,,,,%%14608,,,,0.0.0.0,984,,,36,,5158,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.702944+00:00,,,,,3702,,
74,,,,,0,,,,,,,,,,,,,%%14608,,,,0.0.0.0,984,,,36,,5158,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.702944+00:00,,,,,3702,,
75,,,,,0,,,,,,,,,,,,,%%14608,,,,::,984,,,38,,5158,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.702944+00:00,,,,,3702,,
76,,,,,0,,,,,,,,,,,,,%%14608,,,,::,984,,,38,,5158,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.702944+00:00,,,,,3702,,
77,,,,,0,,,,,,,,,,,,,%%14608,,,,0.0.0.0,984,,,36,,5158,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.702944+00:00,,,,,53614,,
78,,,,,0,,,,,,,,,,,,,%%14608,,,,::,984,,,38,,5158,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.702944+00:00,,,,,53615,,
79,,,3702,239.255.255.250,0,%%14593,S-1-0-0,,,,984,,,S-1-0-0,,,,%%14611,,,,10.0.2.17,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.712955+00:00,,,,,53614,,
80,,,3702,239.255.255.250,0,%%14593,S-1-0-0,,,,984,,,S-1-0-0,,,,%%14611,,,,127.0.0.1,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.712955+00:00,,,,,53614,,
81,,,53614,127.0.0.1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,239.255.255.250,,,,44,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.712955+00:00,,,,,3702,,
82,,,53614,127.0.0.1,0,%%14592,S-1-0-0,,,,984,,,S-1-0-0,,,,%%14610,,,,239.255.255.250,,,,44,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.712955+00:00,,,,,3702,,
83,,,3702,ff02::c,0,%%14593,S-1-0-0,,,,984,,,S-1-0-0,,,,%%14611,,,,fe80::80ac:4126:fa58:1b81,,,,50,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.712955+00:00,,,,,53615,,
84,,,3702,ff02::c,0,%%14593,S-1-0-0,,,,984,,,S-1-0-0,,,,%%14611,,,,::1,,,,50,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.712955+00:00,,,,,53615,,
85,,,53615,::1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,ff02::c,,,,46,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.712955+00:00,,,,,3702,,
86,,,53615,::1,0,%%14592,S-1-0-0,,,,984,,,S-1-0-0,,,,%%14610,,,,ff02::c,,,,46,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.712955+00:00,,,,,3702,,
87,,,53615,::1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,ff02::c,,,,46,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.773043+00:00,,,,,3702,,
88,,,53615,::1,0,%%14592,S-1-0-0,,,,984,,,S-1-0-0,,,,%%14610,,,,ff02::c,,,,46,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.773043+00:00,,,,,3702,,
89,,,53614,127.0.0.1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,239.255.255.250,,,,44,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.793072+00:00,,,,,3702,,
90,,,53614,127.0.0.1,0,%%14592,S-1-0-0,,,,984,,,S-1-0-0,,,,%%14610,,,,239.255.255.250,,,,44,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:18.793072+00:00,,,,,3702,,
91,,,53614,127.0.0.1,0,%%14593,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14611,,,,127.0.0.1,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:19.684355+00:00,,,,,3702,,
92,,,5357,127.0.0.1,0,%%14593,S-1-0-0,,,,984,,,S-1-0-0,,,,%%14611,,,,127.0.0.1,,,,48,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,6,,2019-02-13 18:05:19.734425+00:00,,,,,49284,,
93,,,49284,127.0.0.1,0,%%14592,S-1-0-0,,,,4,,,S-1-0-0,,,,%%14610,,,,127.0.0.1,,,,44,,5156,,,,,System,6,,2019-02-13 18:05:19.734425+00:00,,,,,5357,,
94,,,55139,::1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,ff02::c,,,,46,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:21.597103+00:00,,,,,1900,,
95,,,55141,127.0.0.1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,239.255.255.250,,,,44,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:21.597103+00:00,,,,,1900,,
96,,,55139,::1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,ff02::c,,,,46,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:21.607119+00:00,,,,,1900,,
97,,,55141,127.0.0.1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,239.255.255.250,,,,44,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:21.607119+00:00,,,,,1900,,
98,,,55139,::1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,ff02::c,,,,46,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:24.601423+00:00,,,,,1900,,
99,,,55141,127.0.0.1,0,%%14592,S-1-0-0,,,,1588,,,S-1-0-0,,,,%%14610,,,,239.255.255.250,,,,44,,5156,,,,,\device\harddiskvolume1\windows\system32\svchost.exe,17,,2019-02-13 18:05:24.601423+00:00,,,,,1900,,
