RecordNumber,Timestamp,EventID,EventName,MessageText,AccessGranted,AccessList,AccessMask,AccessRemoved,AccountExpires,AdvancedOptions,AlgorithmName,AllowedToDelegateTo,AuthenticationPackageName,CallerProcessId,CallerProcessName,ClientCreationTime,ClientProcessId,CommandLine,ConfigAccessPolicy,CountOfCredentialsReturned,DisableIntegrityChecks,DisplayName,DomainBehaviorVersion,DomainName,DomainPolicyChanged,DomainSid,Dummy,ElevatedToken,FileName,Flags,FlightSigning,ForceLogoff,HandleId,HomeDirectory,HomePath,HypervisorDebug,HypervisorLaunchType,HypervisorLoadOptions,Identity,ImpersonationLevel,IpAddress,IpPort,KernelDebug,KeyFilePath,KeyLength,KeyName,KeyType,LinkName,LmPackageName,LoadOptions,LockoutDuration,LockoutObservationWindow,LockoutThreshold,LogonGuid,LogonHours,LogonProcessName,LogonType,MachineAccountQuota,MandatoryLabel,MaxPasswordAge,MemberName,MemberSid,MinPasswordAge,MinPasswordLength,MixedDomainMode,NewProcessId,NewProcessName,NewSd,NewState,NewTargetUserName,NewTime,NewUacValue,ObjectName,ObjectServer,ObjectType,OemInformation,OldSd,OldTargetUserName,OldUacValue,Operation,PackageSid,ParentProcessName,PasswordHistoryLength,PasswordLastSet,PasswordProperties,PreviousTime,PrimaryGroupId,PrivilegeList,ProcessCreationTime,ProcessId,ProcessName,ProfilePath,ProviderName,PuaCount,PuaPolicyId,ReadOperation,RemoteCredentialGuard,RemoteEventLogging,Resource,ResourceAttributes,ResourceManager,RestrictedAdminMode,ReturnCode,SamAccountName,Schema,SchemaFriendlyName,ScriptPath,SidHistory,SubjectDomainName,SubjectLogonId,SubjectUserName,SubjectUserSid,TargetDomainName,TargetInfo,TargetLinkedLogonId,TargetLogonGuid,TargetLogonId,TargetName,TargetOutboundDomainName,TargetOutboundUserName,TargetProcessId,TargetProcessName,TargetServerName,TargetSid,TargetUserName,TargetUserSid,TestSigning,TokenElevationType,TransactionId,TransmittedServices,Type,UserAccountControl,UserParameters,UserPrincipalName,UserWorkstations,VirtualAccount,VsmLaunchType,Workstation,WorkstationName
14,2026-04-01 19:15:57.888369+00:00,4688,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,0x00000000000002e4,C:\Windows\System32\lsass.exe,,,,,,,,,,,,,,,C:\Windows\System32\wininit.exe,,,,,,,,0x0000000000000260,,,,,,,,,,,,,,,,,,,-,0x00000000000003e7,-,S-1-5-18,-,,,,0x0000000000000000,,,,,,,,-,S-1-0-0,,%%1936,,,,,,,,,,,
15,2026-04-01 19:15:57.961256+00:00,6417,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x00000000000002e4,C:\Windows\System32\lsass.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2026-04-01 19:15:57.968834+00:00,4608,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2026-04-01 19:15:57.975025+00:00,4624,Microsoft-Windows-Security-Auditing,,,,,,,,,,-,,,,,,,,,,,,,,,%%1842,,,,,,,,,,,,-,-,-,,,0,,,,-,,,,,{00000000-0000-0000-0000-000000000000},,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000000000004,,,,,,,-,,,,,-,,,,,,,-,0x0000000000000000,-,S-1-0-0,NT AUTHORITY,,0x0000000000000000,,0x00000000000003e7,,-,-,,,,,SYSTEM,S-1-5-18,,,,-,,,,,,%%1843,,,-
18,2026-04-01 19:15:58.151655+00:00,4902,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0x000000000005f5a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2026-04-01 19:15:58.180679+00:00,4717,Microsoft-Windows-Security-Auditing,,SeServiceLogonRight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x00000000000003e7,MINWINPC$,S-1-5-18,,,,,,,,,,,,S-1-5-80-3169285310-278349998-1452333686-3865143136-4212226833,,,,,,,,,,,,,,,
20,2026-04-01 19:15:58.195372+00:00,4731,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,Performance Monitor Users,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-558,Performance Monitor Users,,,,,,,,,,,,,,
21,2026-04-01 19:15:58.195400+00:00,4735,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,-,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-558,Performance Monitor Users,,,,,,,,,,,,,,
22,2026-04-01 19:15:58.195526+00:00,4731,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,Performance Log Users,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-559,Performance Log Users,,,,,,,,,,,,,,
23,2026-04-01 19:15:58.195549+00:00,4735,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,-,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-559,Performance Log Users,,,,,,,,,,,,,,
24,2026-04-01 19:15:58.196070+00:00,4731,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,Distributed COM Users,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-562,Distributed COM Users,,,,,,,,,,,,,,
25,2026-04-01 19:15:58.196093+00:00,4735,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,-,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-562,Distributed COM Users,,,,,,,,,,,,,,
26,2026-04-01 19:15:58.196224+00:00,4731,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,IIS_IUSRS,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-568,IIS_IUSRS,,,,,,,,,,,,,,
27,2026-04-01 19:15:58.196245+00:00,4735,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,-,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-568,IIS_IUSRS,,,,,,,,,,,,,,
28,2026-04-01 19:15:58.196278+00:00,4732,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,S-1-5-17,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-568,IIS_IUSRS,,,,,,,,,,,,,,
29,2026-04-01 19:15:58.196507+00:00,4731,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,Event Log Readers,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-573,Event Log Readers,,,,,,,,,,,,,,
30,2026-04-01 19:15:58.196527+00:00,4735,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,-,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-573,Event Log Readers,,,,,,,,,,,,,,
31,2026-04-01 19:15:58.196951+00:00,4731,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,Remote Management Users,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-580,Remote Management Users,,,,,,,,,,,,,,
32,2026-04-01 19:15:58.196974+00:00,4735,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,-,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-580,Remote Management Users,,,,,,,,,,,,,,
33,2026-04-01 19:15:58.197277+00:00,4728,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,S-1-5-21-2352865859-2334931103-2005901029-504,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,0x00000000000003e7,MINWINPC$,S-1-5-18,MINWINPC,,,,,,,,,,,S-1-5-21-2352865859-2334931103-2005901029-513,None,,,,,,,,,,,,,,
34,2026-04-01 19:15:58.197731+00:00,4720,Microsoft-Windows-Security-Auditing,,,,,,%%1794,,,-,,,,,,,,,,%%1793,,,,,,,,,,,,%%1793,%%1793,,,,,,,,,,,,,,,,,,,,%%1797,,,,,,,,,,,,,,,,,0x15,,,,,,,0x0,,,,,%%1794,,,513,-,,,,%%1793,,,,,,,,,,,,WDAGUtilityAccount,,,%%1793,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,MINWINPC,,,,,,,,,,,S-1-5-21-2352865859-2334931103-2005901029-504,WDAGUtilityAccount,,,,,,,"
		%%2080
		%%2082
		%%2084",%%1793,-,%%1793,,,,
35,2026-04-01 19:15:58.197878+00:00,4738,Microsoft-Windows-Security-Auditing,,,,,,-,,,-,,,,,,,,,,-,,,,,-,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,0x11,,,,,,,0x15,,,,,-,,,-,-,,,,-,,,,,,,,,,,,-,,,-,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,MINWINPC,,,,,,,,,,,S-1-5-21-2352865859-2334931103-2005901029-504,WDAGUtilityAccount,,,,,,,"
		%%2050",-,-,-,,,,
36,2026-04-01 19:15:58.239479+00:00,4738,Microsoft-Windows-Security-Auditing,,,,,,-,,,-,,,,,,,,,,-,,,,,-,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,-,,,-,-,,,,-,,,,,,,,,,,,-,,,-,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,MINWINPC,,,,,,,,,,,S-1-5-21-2352865859-2334931103-2005901029-504,WDAGUtilityAccount,,,,,,,-,-,-,-,,,,
37,2026-04-01 19:15:58.239567+00:00,4738,Microsoft-Windows-Security-Auditing,,,,,,-,,,-,,,,,,,,,,-,,,,,-,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,-,,,-,-,,,,-,,,,,,,,,,,,-,,,-,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,MINWINPC,,,,,,,,,,,S-1-5-21-2352865859-2334931103-2005901029-504,WDAGUtilityAccount,,,,,,,-,-,-,-,,,,
38,2026-04-01 19:15:58.239906+00:00,4731,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,OpenSSH Users,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-585,OpenSSH Users,,,,,,,,,,,,,,
39,2026-04-01 19:15:58.239931+00:00,4735,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,-,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-585,OpenSSH Users,,,,,,,,,,,,,,
40,2026-04-01 19:15:58.241457+00:00,4731,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,Hyper-V Administrators,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-578,Hyper-V Administrators,,,,,,,,,,,,,,
41,2026-04-01 19:15:58.241556+00:00,4735,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,-,,,,-,,0x00000000000003e7,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-578,Hyper-V Administrators,,,,,,,,,,,,,,
42,2026-04-01 19:15:58.297096+00:00,4648,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000000000298,C:\Windows\System32\winlogon.exe,,,,,,,,,,,,,,,,,,,0x00000000000003e7,MINWINPC$,S-1-5-18,Font Driver Host,localhost,,{00000000-0000-0000-0000-000000000000},,,,,,,localhost,,UMFD-1,,,,,,,,,,,,,,
43,2026-04-01 19:15:58.297108+00:00,4624,Microsoft-Windows-Security-Auditing,,,,,,,,,,Negotiate,,,,,,,,,,,,,,,%%1843,,,,,,,,,,,,%%1833,-,-,,,0,,,,-,,,,,{00000000-0000-0000-0000-000000000000},,Advapi  ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000000000298,C:\Windows\System32\winlogon.exe,,,,,,-,,,,,-,,,,,,,,0x00000000000003e7,MINWINPC$,S-1-5-18,Font Driver Host,,0x0000000000000000,,0x000000000005fab5,,-,-,,,,,UMFD-1,S-1-5-96-0-1,,,,-,,,,,,%%1842,,,-
44,2026-04-01 19:15:58.297251+00:00,4624,Microsoft-Windows-Security-Auditing,,,,,,,,,,Negotiate,,,,,,,,,,,,,,,%%1842,,,,,,,,,,,,%%1833,-,-,,,0,,,,-,,,,,{00000000-0000-0000-0000-000000000000},,Advapi  ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x00000000000002dc,C:\Windows\System32\services.exe,,,,,,-,,,,,-,,,,,,,,0x00000000000003e7,MINWINPC$,S-1-5-18,NT AUTHORITY,,0x0000000000000000,,0x00000000000003e7,,-,-,,,,,SYSTEM,S-1-5-18,,,,-,,,,,,%%1843,,,-
45,2026-04-01 19:15:58.297255+00:00,4672,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,,,,,,,,,,,,,,,,,,,NT AUTHORITY,0x00000000000003e7,SYSTEM,S-1-5-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2026-04-01 19:15:58.299259+00:00,4648,Microsoft-Windows-Security-Auditing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0000000000000260,C:\Windows\System32\wininit.exe,,,,,,,,,,,,,,,,,,,0x00000000000003e7,MINWINPC$,S-1-5-18,Font Driver Host,localhost,,{00000000-0000-0000-0000-000000000000},,,,,,,localhost,,UMFD-0,,,,,,,,,,,,,,
