agent\.name,agent\.ip,rule\.id,rule\.description,data\.vulnerability\.severity,location,data\.win\.system\.severityValue,data\.win\.system\.systemTime,rule\.info,full_log
wazuh-server, ,533,Listened ports status (netstat) changed (new port opened or closed)., ,netstat listening ports, , , ,"ossec: output: 'netstat listening ports':
tcp 0.0.0.0:22 0.0.0.0:* /usr
tcp6 :::22 :::* /usr
udp 192.168.80.142:68 0.0.0.0:* 3752/systemd-networ
udp 127.0.0.1:323 0.0.0.0:* 3163/chronyd
udp6 ::1:323 :::* 3163/chronyd
tcp 0.0.0.0:443 0.0.0.0:* 3088/node
tcp 0.0.0.0:1514 0.0.0.0:* 4326/wazuh-remoted
tcp 0.0.0.0:1515 0.0.0.0:* 4142/wazuh-authd
tcp6 127.0.0.1:9200 :::* 3813/java
tcp6 127.0.0.1:9300 :::* 3813/java
tcp 0.0.0.0:55000 0.0.0.0:* 4086/python3
tcp6 :::55000 :::* 4086/python3"
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072155.999:214): avc:  denied  { read } for  pid=1 comm=""systemd"" name=""updateIndexerHeap.service"" dev=""sda1"" ino=1805065 scontext=system_u:system_r:init_t:s0 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file permissive=1"
wazuh-server, ,80730,Auditd: SELinux permission check., ,/var/log/audit/audit.log, , , ,"type=AVC msg=audit(1775072155.999:216): avc:  denied  { ioctl } for  pid=1 comm=""systemd"" path=""/etc/systemd/system/updateIndexerHeap.service"" dev=""sda1"" ino=1805065 ioctlcmd=0x5401 scontext=system_u:system_r:init_t:s0 tcontext=unconfined_u:object_r:user_home_t:s0 tclass=file permissive=1"
NormalLogs, ,501,New wazuh agent connected., ,wazuh-agent, , , ,ossec: Agent started: 'NormalLogs->any'.
NormalLogs,192.168.80.140,19012,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'.: Status changed from passed to 'not applicable'", ,sca, , , , 
NormalLogs,192.168.80.140,60608,Summary event of the report's signatures., ,EventChannel,INFORMATION,2026-04-01T20:13:05.3771636Z, , 
NormalLogs,192.168.80.140,60602,Windows application error event., ,EventChannel,ERROR,2026-04-01T20:28:26.5682732Z, , 
NormalLogs,192.168.80.140,503,Wazuh agent started., ,wazuh-agent, , , ,ossec: Agent started: 'NormalLogs->any'.
NormalLogs,192.168.80.140,60730,Inconsistent system shutdown detected., ,EventChannel,INFORMATION,2026-04-01T20:26:18.1330539Z, , 
NormalLogs,192.168.80.140,61104,Service startup type was changed, ,EventChannel,INFORMATION,2026-04-01T19:56:21.9235523Z,This does not appear to be logged on Windows 2000, 
NormalLogs,192.168.80.140,61104,Service startup type was changed, ,EventChannel,INFORMATION,2026-04-01T19:58:50.1981691Z,This does not appear to be logged on Windows 2000, 
NormalLogs,192.168.80.140,61104,Service startup type was changed, ,EventChannel,INFORMATION,2026-04-01T20:10:09.3309072Z,This does not appear to be logged on Windows 2000, 
NormalLogs,192.168.80.140,60668,The Windows search service started., ,EventChannel,INFORMATION,2026-04-01T20:26:31.4044705Z, , 
NormalLogs,192.168.80.140,60646,License activation (slui.exe) failed., ,EventChannel,ERROR,2026-04-01T20:26:32.5583579Z, , 
NormalLogs,192.168.80.140,19005,SCA summary: CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Score less than 30% (26), ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enforce password history' is set to '24 or more password(s)'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'.", ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Relax minimum password length limits' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Domain member: Disable machine account password changes' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Interactive logon: Machine account lockout threshold' is set to '10 or fewer invalid logon attempts, but not 0'.", ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Microsoft network client: Digitally sign communications (always)' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Microsoft network client: Send unencrypted password to third-party SMB servers' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network access: Do not allow storage of passwords and credentials for network authentication' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network access: Remotely accessible registry paths and sub-paths' is configured., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network security: Allow LocalSystem NULL session fallback' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network security: Configure encryption types allowed for Kerberos' is set to 'AES128_HMAC_SHA1, AES256_HMAC_SHA1, Future encryption types'.", ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network security: Do not store LAN Manager hash value on next password change' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network security: LDAP client signing requirements' is set to 'Negotiate signing' or higher., ,sca, , , , 
NormalLogs,192.168.80.140,19007,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Network security: Minimum session security for NTLM SSP based (including secure RPC) servers' is set to 'Require NTLMv2 session security, Require 128-bit encryption'.", ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode' is set to 'Prompt for consent on the secure desktop'., ,sca, , , , 
NormalLogs,192.168.80.140,19009,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Computer Browser (Browser)' is set to 'Disabled' or 'Not Installed'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Infrared monitor service (irmon)' is set to 'Disabled' or 'Not Installed'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Microsoft FTP Service (FTPSVC)' is set to 'Disabled' or 'Not Installed'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'OpenSSH SSH Server (sshd)' is set to 'Disabled' or 'Not Installed'., ,sca, , , , 
NormalLogs,192.168.80.140,19009,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Peer Networking Grouping (p2psvc)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19009,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'PNRP Machine Name Publication Service (PNRPAutoReg)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Problem Reports and Solutions Control Panel Support (wercplsupport)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Remote Desktop Configuration (SessionEnv)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Remote Desktop Services (TermService)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Routing and Remote Access (RemoteAccess)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'UPnP Device Host (upnphost)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Error Reporting Service (WerSvc)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Event Collector (Wecsvc)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Mobile Hotspot Service (icssvc)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows PushToInstall Service (PushToInstall)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Xbox Accessory Management Service (XboxGipSvc)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Xbox Live Networking Service (XboxNetApiSvc)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Domain: Inbound connections' is set to 'Block (default)'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Domain: Logging: Name' is set to '%SystemRoot%System32\logfiles\firewall\domainfw.log'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Domain: Logging: Size limit (KB)' is set to '16,384 KB or greater'.", ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Domain: Logging: Log dropped packets' is set to 'Yes'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Private: Inbound connections' is set to 'Block (default)'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Private: Firewall state' is set to 'On (recommended)'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Private: Settings: Display a notification' is set to 'No'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Private: Logging: Size limit (KB)' is set to '16,384 KB or greater'.", ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Private: Logging: Log successful connections' is set to 'Yes'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Public: Firewall state' is set to 'On (recommended)'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Public: Inbound connections' is set to 'Block (default)'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Public: Settings: Apply local firewall rules' is set to 'No'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Public: Logging: Name' is set to '%SystemRoot%\System32\logfiles\firewall\publicfw.log'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Windows Firewall: Public: Logging: Size limit (KB)' is set to '16,384 KB or greater'.", ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Credential Validation' is set to 'Success and Failure'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Account Lockout' is set to include 'Failure'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Detailed File Share' is set to include 'Failure'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit File Share' is set to 'Success and Failure'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Audit Policy Change' is set to include 'Success'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Other Policy Change Events' is set to include 'Failure'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Security State Change' is set to include 'Success'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Other System Events' is set to 'Success and Failure'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Audit Security System Extension' is set to include 'Success'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Prevent enabling lock screen slide show' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow users to enable online speech recognition services' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'WDigest Authentication' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'MSS: (DisableSavePassword) Prevent the dial-up password from being saved' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'MSS: (KeepAliveTime) How often keep-alive packets are sent in milliseconds' is set to 'Enabled: 300,000 or 5 minutes'.", ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'MSS: (SafeDllSearchMode) Enable Safe DLL search mode' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'MSS: (TcpMaxDataRetransmissions) How many times unacknowledged data is retransmitted' is set to 'Enabled: 3'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure DNS over HTTPS (DoH) name resolution' is set to 'Enabled: Allow DoH' or higher., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enable Font Providers' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Require domain users to elevate when setting a network's location' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,"CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Hardened UNC Paths' is set to 'Enabled, with ""Require Mutual Authentication"" and ""Require Integrity"" set for all NETLOGON and SYSVOL shares'.", ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure RPC listener settings: Protocols to allow for incoming RPC connections' is set to 'Enabled: RPC over TCP'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure RPC over TCP port' is set to 'Enabled: 0'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn off notifications network usage' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn On Virtualization Based Security: Select Platform Security Level' is set to 'Secure Boot' or higher., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn On Virtualization Based Security: Virtualization Based Protection of Code Integrity' is set to 'Enabled with UEFI lock'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn On Virtualization Based Security: Require UEFI Memory Attributes Table' is set to 'True (checked)'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn On Virtualization Based Security: Credential Guard Configuration' is set to 'Enabled with UEFI lock'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Prevent installation of devices that match any of these device IDs' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Prevent installation of devices using drivers that match these device setup classes' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn off handwriting personalization data sharing' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn off Search Companion content file updates' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn off the Windows Messenger Customer Experience Improvement Program' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn off Windows Customer Experience Improvement Program' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enumeration policy for external devices incompatible with Kernel DMA Protection' is set to 'Enabled: Block All'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Do not allow password expiration time longer than required by policy' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enable password encryption' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Password Settings: Password Length' is set to 'Enabled: 15 or more'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow Custom SSPs and APs to be loaded into LSASS' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Block user from showing account details on sign-in' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn on convenience PIN sign-in' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow standby states (S1-S3) when sleeping (on battery)' is set to 'Disabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Turn off the advertising ID' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Enable Windows NTP Client' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Let Windows apps activate with voice while the system is locked' is set to 'Enabled: Force Deny'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow Microsoft accounts to be optional' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Set the default behavior for AutoRun' is set to 'Enabled: Do not execute any autorun commands'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Choose how BitLocker-protected fixed drives can be recovered' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Choose how BitLocker-protected fixed drives can be recovered: Recovery Password' is set to 'Enabled: Allow 48-digit recovery password' or higher., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Choose how BitLocker-protected fixed drives can be recovered: Recovery Key' is set to 'Enabled: Allow 256-bit recovery key' or higher., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Choose how BitLocker-protected fixed drives can be recovered: Omit recovery options from the BitLocker setup wizard' is set to 'Enabled: True'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Choose how BitLocker-protected fixed drives can be recovered: Save BitLocker recovery information to AD DS for fixed data drives' is set to 'Enabled: False'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure use of smart cards on fixed data drives' is set to 'Enabled'., ,sca, , , , 
NormalLogs,192.168.80.140,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Configure use of smart cards on fixed data drives: Require use of smart cards on fixed data drives' is set to 'Enabled: True'., ,sca, , , , 
